alert_id,hospital_id,hospital_name,blood_group,component,units_needed,urgency,status,date,time,blood_group_id,component_id
1755025516276,16,Hospital 16,AB-,Platelets,1,Critical,Pending,13-08-2025,00:35,6,2
1755025516038,17,Hospital 17,O+,Plasma,3,Normal,Pending,13-08-2025,00:35,1,4
1755025460080,2,Hospital 2,O-,Whole Blood,4,Critical,Pending,13-08-2025,00:34,7,2
1755025459664,5,Hospital 5,A+,Platelets,5,Urgent,Pending,13-08-2025,00:34,4,4
1755025160073,17,Hospital 17,AB+,Platelets,2,Urgent,Pending,13-08-2025,00:29,2,5
1755025159655,1,Hospital 1,A+,Whole Blood,4,Normal,Pending,13-08-2025,00:29,3,5
1755024860065,5,Hospital 5,B+,Whole Blood,3,Normal,Pending,13-08-2025,00:24,1,5
1755024859644,14,Hospital 14,A-,Whole Blood,1,Critical,Pending,13-08-2025,00:24,7,3
1,5,Green Valley Hospital,AB+,Packed Red Blood Cells,5,Critical,Resolved,10-08-2025,9:47,7,4
2,2,ABC Medical Center,O-,Plasma,1,Normal,Resolved,08-08-2025,15:47,6,2
3,1,XYZ Hospital,B+,Fresh Frozen Plasma,4,Urgent,Resolved,07-08-2025,16:47,3,5
4,2,ABC Medical Center,O+,Whole Blood,2,Critical,Resolved,10-08-2025,1:47,5,1
5,2,ABC Medical Center,O-,Platelets,1,Normal,Pending,08-08-2025,11:47,6,3
6,4,Sunrise Health,AB-,Platelets,3,Urgent,Pending,08-08-2025,15:47,8,3
7,4,Sunrise Health,A-,Fresh Frozen Plasma,2,Urgent,Resolved,10-08-2025,9:47,2,5
8,1,XYZ Hospital,A+,Platelets,3,Critical,Resolved,09-08-2025,5:47,1,3
9,5,Green Valley Hospital,A+,Platelets,5,Urgent,Pending,09-08-2025,22:47,1,3
10,3,City Hospital,O+,Whole Blood,3,Critical,Resolved,08-08-2025,13:47,5,1
11,5,Green Valley Hospital,A+,Packed Red Blood Cells,2,Critical,Pending,07-08-2025,16:47,1,4
12,1,XYZ Hospital,A+,Fresh Frozen Plasma,1,Urgent,Pending,08-08-2025,3:47,1,5
13,4,Sunrise Health,AB-,Platelets,5,Critical,Resolved,09-08-2025,23:47,8,3
14,4,Sunrise Health,A-,Plasma,3,Urgent,Resolved,09-08-2025,4:47,2,2
15,5,Green Valley Hospital,O+,Fresh Frozen Plasma,4,Urgent,Resolved,08-08-2025,15:47,5,5
1754893312035,4,Hospital 4,O+,Plasma,1,Normal,Resolved,11-08-2025,11:51,6,4
